cve_id,severity,cvss_score,cwes,affected_asset_count,published
CVE-2019-5481,critical,9.8,CWE-415,47,2019-09-16
CVE-2020-8177,high,7.8,CWE-99;CWE-74,47,2020-12-14
CVE-2022-46908,high,7.3,,46,2022-12-12
CVE-2024-6387,high,8.1,CWE-364;CWE-362,46,2024-07-01
CVE-2018-18065,medium,6.5,CWE-476,45,2018-10-08
CVE-2019-20892,medium,6.5,CWE-415,45,2020-06-25
CVE-2022-28391,high,8.8,CWE-88,43,2022-04-03
CVE-2022-29143,high,7.5,,43,2022-06-15
CVE-2022-0847,high,7.8,CWE-665,41,2022-03-10
CVE-2022-30767,critical,9.8,CWE-120,40,2022-05-16
CVE-2021-24112,high,8.1,,39,2021-02-25
CVE-2022-24809,medium,6.5,CWE-476,39,2024-04-16
CVE-2019-1068,high,8.8,,38,2019-07-15
CVE-2020-0618,high,8.8,CWE-502,38,2020-02-11
CVE-2020-25681,high,8.1,CWE-122,38,2021-01-20
CVE-2023-21808,high,7.8,CWE-416,36,2023-02-14
CVE-2020-15861,high,7.8,CWE-59,35,2020-08-20
CVE-2023-37559,medium,6.5,CWE-20,35,2023-08-03
CVE-2023-37560,medium,6.1,CWE-79,35,2023-07-13
CVE-2019-12255,critical,9.8,CWE-120,32,2019-08-09
CVE-2019-12256,critical,9.8,CWE-120,32,2019-08-09
CVE-2019-12257,high,8.8,CWE-120,32,2019-08-09
CVE-2019-12260,critical,9.8,CWE-120,32,2019-08-09
CVE-2021-34431,medium,6.5,CWE-401,32,2021-07-22
CVE-2021-41039,high,7.5,CWE-1050,32,2021-12-01
CVE-2022-22515,high,8.1,CWE-668,31,2022-04-07
CVE-2022-22517,high,7.5,CWE-334;CWE-330,31,2022-04-07
CVE-2022-31802,critical,9.8,CWE-187,31,2022-06-24
CVE-2019-17498,high,8.1,CWE-190,29,2019-10-21
CVE-2020-22218,high,7.5,CWE-787,29,2023-08-22
CVE-2021-30186,high,7.5,CWE-787,29,2021-05-25
CVE-2021-30188,critical,9.8,CWE-787,29,2021-05-25
CVE-2021-30189,critical,9.8,CWE-787,29,2021-05-25
CVE-2021-3999,high,7.8,CWE-193,28,2022-08-24
CVE-2020-11810,low,3.7,CWE-362,27,2020-04-27
CVE-2020-15078,high,7.5,CWE-305;CWE-306,27,2021-04-26
CVE-2022-41741,high,7.8,CWE-787,27,2022-10-19
CVE-2022-41742,high,7.1,CWE-787,27,2022-10-19
CVE-2018-15599,medium,5.3,CWE-200,26,2018-08-21
CVE-2018-16301,high,7.8,CWE-190;CWE-787;CWE-120,26,2019-10-03
CVE-2020-36254,high,8.1,,26,2021-02-25
CVE-2021-33909,high,7.8,CWE-190;CWE-787,26,2021-07-20
CVE-2021-42342,critical,9.8,CWE-434,26,2021-10-14
CVE-2022-0547,critical,9.8,CWE-305;CWE-287,26,2022-03-18
CVE-2023-32233,high,7.8,CWE-416,26,2023-05-08
CVE-2023-46849,high,7.5,CWE-369,26,2023-11-11
CVE-2023-46850,critical,9.8,CWE-416,26,2023-11-11
CVE-2024-1086,high,7.8,CWE-416,26,2024-01-31
CVE-2019-11477,high,7.5,CWE-190,25,2019-06-19
CVE-2019-12258,high,7.5,CWE-384,25,2019-08-09
CVE-2019-12259,high,7.5,CWE-476,25,2019-08-09
CVE-2019-12262,critical,9.8,,25,2019-08-14
CVE-2019-3855,high,8.8,CWE-190;CWE-787,25,2019-03-21
CVE-2019-3856,high,8.8,CWE-190;CWE-787,25,2019-03-25
CVE-2019-3858,critical,9.1,CWE-125,25,2019-03-21
CVE-2022-22707,medium,5.9,CWE-787,24,2022-01-06
CVE-2023-38408,critical,9.8,CWE-428,24,2023-07-20
CVE-2023-52160,medium,6.5,CWE-287,24,2024-02-22
CVE-2023-7256,medium,4.4,CWE-415,24,2024-08-31
CVE-2017-17562,high,8.1,,23,2017-12-12
CVE-2019-5096,critical,9.8,CWE-416,23,2019-12-03
CVE-2019-5097,high,7.5,CWE-835,23,2019-12-03
CVE-2021-35942,critical,9.1,CWE-190;CWE-704,23,2021-07-22
CVE-2024-2961,high,7.3,CWE-787,23,2024-04-17
CVE-2017-14491,critical,9.8,CWE-787,21,2017-10-04
CVE-2017-14492,critical,9.8,CWE-119,21,2017-10-03
CVE-2019-11779,medium,6.5,CWE-754;CWE-674,21,2019-09-19
CVE-2020-10648,high,7.8,CWE-20,21,2020-03-19
CVE-2021-27097,high,7.8,,21,2021-02-17
CVE-2021-27803,high,7.5,,21,2021-02-26
CVE-2021-28166,medium,6.5,CWE-476,21,2021-04-07
