NVD totalResults=381637 | corpus=11336 | resuming idx=0
idx=246000/381637 | corpus cached=8435 with_score=8371
idx=248000/381637 | corpus cached=8446 with_score=8382
idx=250000/381637 | corpus cached=8517 with_score=8453
idx=252000/381637 | corpus cached=8575 with_score=8509
idx=254000/381637 | corpus cached=8629 with_score=8557
idx=256000/381637 | corpus cached=8693 with_score=8620
idx=258000/381637 | corpus cached=8807 with_score=8731
idx=260000/381637 | corpus cached=8904 with_score=8822
idx=262000/381637 | corpus cached=8964 with_score=8880
idx=264000/381637 | corpus cached=9097 with_score=9010
idx=266000/381637 | corpus cached=9159 with_score=9067
idx=268000/381637 | corpus cached=9288 with_score=9191
idx=270000/381637 | corpus cached=9355 with_score=9256
idx=272000/381637 | corpus cached=9408 with_score=9309
idx=274000/381637 | corpus cached=9475 with_score=9373
idx=276000/381637 | corpus cached=9595 with_score=9488
idx=278000/381637 | corpus cached=9637 with_score=9528
idx=280000/381637 | corpus cached=9675 with_score=9556
idx=282000/381637 | corpus cached=9730 with_score=9609
idx=284000/381637 | corpus cached=9770 with_score=9649
idx=286000/381637 | corpus cached=9821 with_score=9697
idx=288000/381637 | corpus cached=9854 with_score=9716
idx=290000/381637 | corpus cached=9908 with_score=9769
idx=292000/381637 | corpus cached=10002 with_score=9862
idx=294000/381637 | corpus cached=10053 with_score=9909
idx=296000/381637 | corpus cached=10081 with_score=9935
idx=298000/381637 | corpus cached=10112 with_score=9965
idx=300000/381637 | corpus cached=10141 with_score=9987
idx=302000/381637 | corpus cached=10180 with_score=10019
idx=304000/381637 | corpus cached=10211 with_score=10045
idx=306000/381637 | corpus cached=10267 with_score=10088
idx=308000/381637 | corpus cached=10291 with_score=10108
idx=310000/381637 | corpus cached=10429 with_score=10241
idx=312000/381637 | corpus cached=10458 with_score=10268
idx=314000/381637 | corpus cached=10507 with_score=10311
idx=316000/381637 | corpus cached=10529 with_score=10326
idx=318000/381637 | corpus cached=10563 with_score=10351
idx=320000/381637 | corpus cached=10596 with_score=10378
idx=322000/381637 | corpus cached=10642 with_score=10415
idx=324000/381637 | corpus cached=10682 with_score=10440
idx=326000/381637 | corpus cached=10689 with_score=10444
idx=328000/381637 | corpus cached=10724 with_score=10470
idx=330000/381637 | corpus cached=10767 with_score=10503
idx=332000/381637 | corpus cached=10829 with_score=10551
idx=334000/381637 | corpus cached=10854 with_score=10574
idx=336000/381637 | corpus cached=10882 with_score=10600
idx=338000/381637 | corpus cached=10924 with_score=10641
idx=340000/381637 | corpus cached=10951 with_score=10666
idx=342000/381637 | corpus cached=10973 with_score=10687
idx=344000/381637 | corpus cached=11008 with_score=10720
idx=346000/381637 | corpus cached=11064 with_score=10775
idx=348000/381637 | corpus cached=11121 with_score=10830
idx=350000/381637 | corpus cached=11148 with_score=10854
idx=352000/381637 | corpus cached=11159 with_score=10865
idx=354000/381637 | corpus cached=11163 with_score=10866
idx=356000/381637 | corpus cached=11167 with_score=10870
idx=358000/381637 | corpus cached=11186 with_score=10889
idx=360000/381637 | corpus cached=11196 with_score=10889
idx=362000/381637 | corpus cached=11204 with_score=10896
idx=364000/381637 | corpus cached=11212 with_score=10903
idx=366000/381637 | corpus cached=11247 with_score=10923
idx=368000/381637 | corpus cached=11249 with_score=10925
idx=370000/381637 | corpus cached=11262 with_score=10935
idx=372000/381637 | corpus cached=11273 with_score=10943
idx=374000/381637 | corpus cached=11295 with_score=10965
idx=376000/381637 | corpus cached=11310 with_score=10980
idx=378000/381637 | corpus cached=11313 with_score=10980
idx=380000/381637 | corpus cached=11313 with_score=10980
idx=382000/381637 | corpus cached=11313 with_score=10980
DONE. corpus CVEs cached=11313 with_score=10980
